CODE,METRO_STATION,METRO_LINE,CENTER,DISTRICT_CODE,DISTRICT_NAME,TYPE,FLOORS,ROOF_TYPE,N_of_RECEDING_FLOORS,N_of_FLOORS_SLOPE,NEW_BUILDING,DB_LOW,DB_HIGHT,PRICE_COMPLETE
395800,,,1,500089,Praha 2,1,3,1,0,0,0,60,65,15230
4073,I. P. Pavlova,C,0,500089,Praha 2,1,5,3,1,0,0,60,65,11010
391100,Karlovo náměstí,B,1,500089,Praha 2,1,6,3,1,0,0,0,5,19020
4058,,,0,500089,Praha 2,1,2,1,1,0,0,35,40,19610
2862,Hlavní nádraží,C,0,500089,Praha 2,1,1,3,0,0,0,45,50,N
3928,,,0,500089,Praha 2,1,6,3,1,0,0,40,45,5270
389300,I. P. Pavlova,C,1,500089,Praha 2,1,5,3,2,0,0,60,65,30150
4080,Náměstí Míru,A,0,500089,Praha 2,1,6,1,1,0,0,30,35,N
389900,Karlovo náměstí,B,1,500089,Praha 2,1,6,1,0,0,0,60,65,N
394900,Karlovo náměstí,B,1,500089,Praha 2,1,4,1,0,0,0,60,65,N
3965,,,0,500089,Praha 2,1,4,1,1,0,0,55,60,N
3921,Vyšehrad,C,0,500089,Praha 2,1,1,1,0,0,0,60,65,12840
3985,Vyšehrad,C,0,500089,Praha 2,1,5,1,0,0,0,60,65,12840
391600,Karlovo náměstí,B,1,500089,Praha 2,1,5,1,1,0,0,60,65,15230
2854,Hlavní nádraží,C,0,500089,Praha 2,1,2,1,0,0,0,40,45,N
2863,Hlavní nádraží,C,0,500089,Praha 2,1,2,1,1,0,0,60,65,N
388500,Karlovo náměstí,B,1,500089,Praha 2,1,7,3,1,0,0,60,65,N
391200,Karlovo náměstí,B,1,500089,Praha 2,1,5,1,1,0,0,60,65,N
3923,,,0,500089,Praha 2,1,4,1,0,0,0,55,60,N
4049,I. P. Pavlova,C,0,500089,Praha 2,1,2,3,0,0,0,60,65,10320
270700,Můstek,"A,B",1,500089,Praha 2,1,6,3,2,0,0,60,65,N
4035,I. P. Pavlova,C,0,500089,Praha 2,1,6,3,1,0,0,0,5,19610
4051,,,0,500089,Praha 2,1,2,1,0,0,0,60,65,11010
15746,I. P. Pavlova,C,0,500089,Praha 2,1,5,1,0,0,0,40,45,17910
3968,Smíchovské nádraží,B,0,500089,Praha 2,1,2,1,0,0,0,55,60,12840
394300,I. P. Pavlova,C,1,500089,Praha 2,1,6,3,2,0,0,35,40,37500
4077,I. P. Pavlova,C,0,500089,Praha 2,1,4,1,0,0,0,10,15,19610
4081,Náměstí Míru,A,0,500089,Praha 2,1,2,1,0,0,0,35,40,N
388200,Karlovo náměstí,B,1,500089,Praha 2,1,6,3,1,0,0,60,65,N
20170,,,0,500089,Praha 2,1,2,1,0,0,0,35,40,N
394200,I. P. Pavlova,C,1,500089,Praha 2,1,3,1,0,0,0,5,10,25000
390700,,,1,500089,Praha 2,1,1,1,0,0,0,40,45,N
4059,,,0,500089,Praha 2,1,5,1,0,0,0,35,40,14780
2860,Hlavní nádraží,C,0,500089,Praha 2,1,5,3,0,0,0,55,60,13690
404200,I. P. Pavlova,C,1,500089,Praha 2,1,6,1,0,0,0,60,65,17910
4068,Vyšehrad,C,0,500089,Praha 2,1,6,1,0,0,0,60,65,11010
15725,,,0,500089,Praha 2,1,3,1,0,0,0,10,15,10320
4050,,,0,500089,Praha 2,1,6,3,2,0,0,60,65,11010
4065,,,0,500089,Praha 2,1,4,1,0,0,0,45,50,14780
3997,,,0,500089,Praha 2,1,4,1,0,0,0,60,65,7810
15735,,,0,500089,Praha 2,1,5,1,0,0,0,35,40,19610
4043,I. P. Pavlova,C,0,500089,Praha 2,1,5,1,0,0,0,15,20,19610
396100,,,1,500089,Praha 2,1,1,1,0,0,0,35,40,N
4031,Hlavní nádraží,C,0,500089,Praha 2,1,6,1,0,0,0,15,20,22800
404000,I. P. Pavlova,C,1,500089,Praha 2,1,6,1,0,0,0,0,5,N
390400,I. P. Pavlova,C,1,500089,Praha 2,1,2,1,0,0,0,60,65,N
3974,,,0,500089,Praha 2,1,2,1,0,0,0,55,60,N
389000,I. P. Pavlova,C,1,500089,Praha 2,1,6,3,2,0,0,5,10,30150
15712,I. P. Pavlova,C,0,500089,Praha 2,1,6,1,0,0,0,0,5,17910
4072,,,0,500089,Praha 2,1,2,1,0,0,0,60,65,7810
15736,I. P. Pavlova,C,0,500089,Praha 2,1,6,1,0,0,0,60,65,10320
4056,,,0,500089,Praha 2,1,4,1,1,0,0,40,45,N
390500,I. P. Pavlova,C,1,500089,Praha 2,1,2,1,0,0,0,5,10,N
4079,Náměstí Míru,A,0,500089,Praha 2,1,4,3,1,0,0,30,35,21140
394500,I. P. Pavlova,C,1,500089,Praha 2,1,6,3,0,0,0,60,65,48450
3998,Vyšehrad,C,0,500089,Praha 2,1,5,1,0,0,0,55,60,5400
15738,Náměstí Míru,A,0,500089,Praha 2,1,5,1,2,0,0,30,35,N
395900,Karlovo náměstí,B,1,500089,Praha 2,1,2,3,0,0,0,55,60,19020
15745,Florenc,"B,C",0,500089,Praha 2,1,6,3,0,0,0,60,65,20730
395100,I. P. Pavlova,C,1,500089,Praha 2,1,2,1,0,0,0,35,40,N
3967,,,0,500089,Praha 2,4,1,1,0,0,0,40,45,N
15734,Vyšehrad,C,0,500089,Praha 2,4,3,3,0,0,0,60,65,7200
3874,Vyšehrad,C,0,500089,Praha 2,4,1,1,0,0,0,40,45,16920
